question,sql
How many events are there?,SELECT COUNT(*) FROM `event`
List all the event names by year from the most recent to the oldest.,SELECT `name` FROM `event` ORDER BY `YEAR` DESC
What is the name of the event that happened in the most recent year?,SELECT `name` FROM `event` ORDER BY `YEAR` DESC LIMIT 1
How many stadiums are there?,SELECT COUNT(*) FROM `stadium`
Find the name of the stadium that has the maximum capacity.,SELECT `name` FROM `stadium` ORDER BY `capacity` DESC LIMIT 1
Find the names of stadiums whose capacity is smaller than the average capacity.,SELECT `name` FROM `stadium` WHERE `capacity` < (SELECT AVG(`capacity`) FROM `stadium`)
Find the country that has the most stadiums.,SELECT `country` FROM `stadium` GROUP BY `country` ORDER BY COUNT(*) DESC LIMIT 1
Which country has at most 3 stadiums listed?,SELECT `country` FROM `stadium` GROUP BY `country` HAVING COUNT(*) <= 3
Which country has both stadiums with capacity greater than 60000 and stadiums with capacity less than 50000?,SELECT `country` FROM `stadium` WHERE `capacity` > 60000 INTERSECT SELECT `country` FROM `stadium` WHERE `capacity` < 50000
How many cities have a stadium that was opened before the year of 2006?,SELECT COUNT(DISTINCT `city`) FROM `stadium` WHERE `opening_year` < 2006
How many stadiums does each country have?,"SELECT `country`, COUNT(*) FROM `stadium` GROUP BY `country`"
Which countries do not have a stadium that was opened after 2006?,SELECT `country` FROM `stadium` EXCEPT SELECT `country` FROM `stadium` WHERE `opening_year` > 2006
"How many stadiums are not in country ""Russia""?",SELECT COUNT(*) FROM `stadium` WHERE `country` <> 'Russia'
"Find the names of all swimmers, sorted by their 100 meter scores in ascending order.",SELECT `name` FROM `swimmer` ORDER BY `meter_100`
How many different countries are all the swimmers from?,SELECT COUNT(DISTINCT `nationality`) FROM `swimmer`
List countries that have more than one swimmer.,"SELECT `nationality`, COUNT(*) FROM `swimmer` GROUP BY `nationality` HAVING COUNT(*) > 1"
"Find all 200 meter and 300 meter results of swimmers with nationality ""Australia"".","SELECT `meter_200`, `meter_300` FROM `swimmer` WHERE `nationality` = 'Australia'"
"Find the names of swimmers who has a result of ""win"".",SELECT `t1`.`name` FROM `swimmer` AS `t1` JOIN `record` AS `t2` ON `t1`.`id` = `t2`.`swimmer_id` WHERE `RESULT` = 'Win'
What is the name of the stadium which held the most events?,SELECT `t1`.`name` FROM `stadium` AS `t1` JOIN `event` AS `t2` ON `t1`.`id` = `t2`.`stadium_id` GROUP BY `t2`.`stadium_id` ORDER BY COUNT(*) DESC LIMIT 1
"Find the name and capacity of the stadium where the event named ""World Junior"" happened.","SELECT `t1`.`name`, `t1`.`capacity` FROM `stadium` AS `t1` JOIN `event` AS `t2` ON `t1`.`id` = `t2`.`stadium_id` WHERE `t2`.`name` = 'World Junior'"
Find the names of stadiums which have never had any event.,SELECT `name` FROM `stadium` WHERE NOT `id` IN (SELECT `stadium_id` FROM `event`)
Find the name of the swimmer who has the most records.,SELECT `t1`.`name` FROM `swimmer` AS `t1` JOIN `record` AS `t2` ON `t1`.`id` = `t2`.`swimmer_id` GROUP BY `t2`.`swimmer_id` ORDER BY COUNT(*) DESC LIMIT 1
Find the name of the swimmer who has at least 2 records.,SELECT `t1`.`name` FROM `swimmer` AS `t1` JOIN `record` AS `t2` ON `t1`.`id` = `t2`.`swimmer_id` GROUP BY `t2`.`swimmer_id` HAVING COUNT(*) >= 2
"Find the name and nationality of the swimmer who has won (i.e., has a result of ""win"") more than 1 time.","SELECT `t1`.`name`, `t1`.`nationality` FROM `swimmer` AS `t1` JOIN `record` AS `t2` ON `t1`.`id` = `t2`.`swimmer_id` WHERE `RESULT` = 'Win' GROUP BY `t2`.`swimmer_id` HAVING COUNT(*) > 1"
Find the names of the swimmers who have no record.,SELECT `name` FROM `swimmer` WHERE NOT `id` IN (SELECT `swimmer_id` FROM `record`)
"Find the names of the swimmers who have both ""win"" and ""loss"" results in the record.",SELECT `t1`.`name` FROM `swimmer` AS `t1` JOIN `record` AS `t2` ON `t1`.`id` = `t2`.`swimmer_id` WHERE `RESULT` = 'Win' INTERSECT SELECT `t1`.`name` FROM `swimmer` AS `t1` JOIN `record` AS `t2` ON `t1`.`id` = `t2`.`swimmer_id` WHERE `RESULT` = 'Loss'
Find the names of stadiums that some Australian swimmers have been to.,SELECT `t4`.`name` FROM `swimmer` AS `t1` JOIN `record` AS `t2` ON `t1`.`id` = `t2`.`swimmer_id` JOIN `event` AS `t3` ON `t2`.`event_id` = `t3`.`id` JOIN `stadium` AS `t4` ON `t4`.`id` = `t3`.`stadium_id` WHERE `t1`.`nationality` = 'Australia'
Find the names of stadiums that the most swimmers have been to.,SELECT `t3`.`name` FROM `record` AS `t1` JOIN `event` AS `t2` ON `t1`.`event_id` = `t2`.`id` JOIN `stadium` AS `t3` ON `t3`.`id` = `t2`.`stadium_id` GROUP BY `t2`.`stadium_id` ORDER BY COUNT(*) DESC LIMIT 1
Find all details for each swimmer.,SELECT * FROM `swimmer`
What is the average capacity of the stadiums that were opened in year 2005?,SELECT AVG(`capacity`) FROM `stadium` WHERE `opening_year` = 2005
