question,sql
What is the id of the most recent order?,SELECT order_id FROM orders ORDER BY date_order_placed DESC LIMIT 1
Find the id of the order made most recently.,SELECT order_id FROM orders ORDER BY date_order_placed DESC LIMIT 1
what are the order id and customer id of the oldest order?,"SELECT order_id ,  customer_id FROM orders ORDER BY date_order_placed LIMIT 1"
Find the order id and customer id associated with the oldest order.,"SELECT order_id ,  customer_id FROM orders ORDER BY date_order_placed LIMIT 1"
"Find the id of the order whose shipment tracking number is ""3452"".","SELECT order_id FROM shipments WHERE shipment_tracking_number = ""3452"""
"Which order's shipment tracking number is ""3452""? Give me the id of the order.","SELECT order_id FROM shipments WHERE shipment_tracking_number = ""3452"""
Find the ids of all the order items whose product id is 11.,SELECT order_item_id FROM order_items WHERE product_id = 11
Find all the order items whose product id is 11. What are the order item ids?,SELECT order_item_id FROM order_items WHERE product_id = 11
"List the name of all the distinct customers who have orders with status ""Packing"".","SELECT DISTINCT T1.customer_name FROM customers AS T1 JOIN orders AS T2 ON T1.customer_id = T2.customer_id WHERE T2.order_status = ""Packing"""
"Which customers have orders with status ""Packing""? Give me the customer names.","SELECT DISTINCT T1.customer_name FROM customers AS T1 JOIN orders AS T2 ON T1.customer_id = T2.customer_id WHERE T2.order_status = ""Packing"""
"Find the details of all the distinct customers who have orders with status ""On Road"".","SELECT DISTINCT T1.customer_details FROM customers AS T1 JOIN orders AS T2 ON T1.customer_id = T2.customer_id WHERE T2.order_status = ""On Road"""
"What are the distinct customers who have orders with status ""On Road""? Give me the customer details?","SELECT DISTINCT T1.customer_details FROM customers AS T1 JOIN orders AS T2 ON T1.customer_id = T2.customer_id WHERE T2.order_status = ""On Road"""
What is the name of the customer who has the most orders?,SELECT T1.customer_name FROM customers AS T1 JOIN orders AS T2 ON T1.customer_id  =  T2.customer_id GROUP BY T1.customer_id ORDER BY count(*) DESC LIMIT 1
Which customer made the most orders? Find the customer name.,SELECT T1.customer_name FROM customers AS T1 JOIN orders AS T2 ON T1.customer_id  =  T2.customer_id GROUP BY T1.customer_id ORDER BY count(*) DESC LIMIT 1
What is the customer id of the customer who has the most orders?,SELECT T1.customer_id FROM customers AS T1 JOIN orders AS T2 ON T1.customer_id  =  T2.customer_id GROUP BY T1.customer_id ORDER BY count(*) DESC LIMIT 1
Find the id of the customer who made the most orders.,SELECT T1.customer_id FROM customers AS T1 JOIN orders AS T2 ON T1.customer_id  =  T2.customer_id GROUP BY T1.customer_id ORDER BY count(*) DESC LIMIT 1
"Give me a list of id and status of orders which belong to the customer named ""Jeramie"".","SELECT T2.order_id ,  T2.order_status FROM customers AS T1 JOIN orders AS T2 ON T1.customer_id = T2.customer_id WHERE T1.customer_name = ""Jeramie"""
"Which orders are made by the customer named ""Jeramie""? Give me the order ids and status.","SELECT T2.order_id ,  T2.order_status FROM customers AS T1 JOIN orders AS T2 ON T1.customer_id = T2.customer_id WHERE T1.customer_name = ""Jeramie"""
"Find the dates of orders which belong to the customer named ""Jeramie"".","SELECT T2.date_order_placed FROM customers AS T1 JOIN orders AS T2 ON T1.customer_id = T2.customer_id WHERE T1.customer_name = ""Jeramie"""
