question,sql
Find the number of investors in total.,SELECT count(*) FROM INVESTORS
Show all investor details.,SELECT Investor_details FROM INVESTORS
Show all distinct lot details.,SELECT DISTINCT lot_details FROM LOTS
Show the maximum amount of transaction.,SELECT max(amount_of_transaction) FROM TRANSACTIONS
Show all date and share count of transactions.,"SELECT date_of_transaction ,  share_count FROM TRANSACTIONS"
What is the total share of transactions?,SELECT sum(share_count) FROM TRANSACTIONS
Show all transaction ids with transaction code 'PUR'.,SELECT transaction_id FROM TRANSACTIONS WHERE transaction_type_code  =  'PUR'
"Show all dates of transactions whose type code is ""SALE"".","SELECT date_of_transaction FROM TRANSACTIONS WHERE transaction_type_code  =  ""SALE"""
"Show the average amount of transactions with type code ""SALE"".","SELECT avg(amount_of_transaction) FROM TRANSACTIONS WHERE transaction_type_code  =  ""SALE"""
"Show the description of transaction type with code ""PUR"".","SELECT transaction_type_description FROM Ref_Transaction_Types WHERE transaction_type_code	  =  ""PUR"""
"Show the minimum amount of transactions whose type code is ""PUR"" and whose share count is bigger than 50.","SELECT min(amount_of_transaction) FROM TRANSACTIONS WHERE transaction_type_code  =  ""PUR"" AND share_count  >  50"
Show the maximum share count of transactions where the amount is smaller than 10000,SELECT max(share_count) FROM TRANSACTIONS WHERE amount_of_transaction  <  10000
Show the dates of transactions if the share count is bigger than 100 or the amount is bigger than 1000.,SELECT date_of_transaction FROM TRANSACTIONS WHERE share_count  >  100 OR amount_of_transaction  >  1000
Show the transaction type descriptions and dates if the share count is smaller than 10.,"SELECT T1.transaction_type_description ,  T2.date_of_transaction FROM Ref_Transaction_Types AS T1 JOIN TRANSACTIONS AS T2 ON T1.transaction_type_code  =  T2.transaction_type_code WHERE T2.share_count  <  10"
Show details of all investors if they make any transaction with share count greater than 100.,SELECT T1.Investor_details FROM  INVESTORS AS T1 JOIN TRANSACTIONS AS T2 ON T1.investor_id  =  T2.investor_id WHERE T2.share_count  >  100
How many distinct transaction types are used in the transactions?,SELECT COUNT(DISTINCT transaction_type_code) FROM TRANSACTIONS
Return the lot details and investor ids.,"SELECT lot_details ,  investor_id FROM LOTS"
"Return the lot details of lots that belong to investors with details ""l""?","SELECT T2.lot_details FROM INVESTORS AS T1 JOIN LOTS AS T2 ON  T1.investor_id  =  T2.investor_id WHERE T1.Investor_details  =  ""l"""
What are the purchase details of transactions with amount bigger than 10000?,SELECT T1.purchase_details FROM PURCHASES AS T1 JOIN TRANSACTIONS AS T2 ON T1.purchase_transaction_id  =  T2.transaction_id WHERE T2.amount_of_transaction  >  10000
What are the sale details and dates of transactions with amount smaller than 3000?,"SELECT T1.sales_details ,  T2.date_of_transaction FROM SALES AS T1 JOIN TRANSACTIONS AS T2 ON T1.sales_transaction_id  =  T2.transaction_id WHERE T2.amount_of_transaction  <  3000"
What are the lot details of lots associated with transactions with share count smaller than 50?,SELECT T1.lot_details FROM LOTS AS T1 JOIN TRANSACTIONS_LOTS AS T2 ON T1.lot_id  =  T2.transaction_id JOIN TRANSACTIONS AS T3 ON T2.transaction_id  =  T3.transaction_id WHERE T3.share_count  <  50
