question,sql
What is the id of the problem log that is created most recently?,SELECT `problem_log_id` FROM `problem_log` ORDER BY `log_entry_date` DESC LIMIT 1
Which problem log was created most recently? Give me the log id.,SELECT `problem_log_id` FROM `problem_log` ORDER BY `log_entry_date` DESC LIMIT 1
What is the oldest log id and its corresponding problem id?,"SELECT `problem_log_id`, `problem_id` FROM `problem_log` ORDER BY `log_entry_date` LIMIT 1"
Find the oldest log id and its corresponding problem id.,"SELECT `problem_log_id`, `problem_id` FROM `problem_log` ORDER BY `log_entry_date` LIMIT 1"
Find all the ids and dates of the logs for the problem whose id is 10.,"SELECT `problem_log_id`, `log_entry_date` FROM `problem_log` WHERE `problem_id` = 10"
"For the problem with id 10, return the ids and dates of its problem logs.","SELECT `problem_log_id`, `log_entry_date` FROM `problem_log` WHERE `problem_id` = 10"
List all the log ids and their descriptions from the problem logs.,"SELECT `problem_log_id`, `log_entry_description` FROM `problem_log`"
What are the log id and entry description of each problem?,"SELECT `problem_log_id`, `log_entry_description` FROM `problem_log`"
List the first and last names of all distinct staff members who are assigned to the problem whose id is 1.,"SELECT DISTINCT `staff_first_name`, `staff_last_name` FROM `staff` AS `T1` JOIN `problem_log` AS `T2` ON `T1`.`staff_id` = `T2`.`assigned_to_staff_id` WHERE `T2`.`problem_id` = 1"
Which staff members are assigned to the problem with id 1? Give me their first and last names.,"SELECT DISTINCT `staff_first_name`, `staff_last_name` FROM `staff` AS `T1` JOIN `problem_log` AS `T2` ON `T1`.`staff_id` = `T2`.`assigned_to_staff_id` WHERE `T2`.`problem_id` = 1"
List the problem id and log id which are assigned to the staff named Rylan Homenick.,"SELECT DISTINCT `T2`.`problem_id`, `T2`.`problem_log_id` FROM `staff` AS `T1` JOIN `problem_log` AS `T2` ON `T1`.`staff_id` = `T2`.`assigned_to_staff_id` WHERE `T1`.`staff_first_name` = `Rylan` AND `T1`.`staff_last_name` = `Homenick`"
Which problem id and log id are assigned to the staff named Rylan Homenick?,"SELECT DISTINCT `T2`.`problem_id`, `T2`.`problem_log_id` FROM `staff` AS `T1` JOIN `problem_log` AS `T2` ON `T1`.`staff_id` = `T2`.`assigned_to_staff_id` WHERE `T1`.`staff_first_name` = `Rylan` AND `T1`.`staff_last_name` = `Homenick`"
How many problems are there for product voluptatem?,SELECT COUNT(*) FROM `product` AS `T1` JOIN `problems` AS `T2` ON `T1`.`product_id` = `T2`.`product_id` WHERE `T1`.`product_name` = `voluptatem`
"How many problems did the product called ""voluptatem"" have in record?",SELECT COUNT(*) FROM `product` AS `T1` JOIN `problems` AS `T2` ON `T1`.`product_id` = `T2`.`product_id` WHERE `T1`.`product_name` = `voluptatem`
