question,sql
How many train stations are there?,SELECT COUNT(*) FROM `station`
"Show the name, location, and number of platforms for all stations.","SELECT `name`, `LOCATION`, `number_of_platforms` FROM `station`"
What are all locations of train stations?,SELECT DISTINCT `LOCATION` FROM `station`
Show the names and total passengers for all train stations not in London.,"SELECT `name`, `total_passengers` FROM `station` WHERE `LOCATION` <> 'London'"
Show the names and main services for train stations that have the top three total number of passengers.,"SELECT `name`, `main_services` FROM `station` ORDER BY `total_passengers` DESC LIMIT 3"
What is the average and maximum number of total passengers for train stations in London or Glasgow?,"SELECT AVG(`total_passengers`), MAX(`total_passengers`) FROM `station` WHERE `LOCATION` = 'London' OR `LOCATION` = 'Glasgow'"
Show all locations and the total number of platforms and passengers for all train stations in each location.,"SELECT `LOCATION`, SUM(`number_of_platforms`), SUM(`total_passengers`) FROM `station` GROUP BY `LOCATION`"
Show all locations that have train stations with at least 15 platforms and train stations with more than 25 total passengers.,SELECT DISTINCT `LOCATION` FROM `station` WHERE `number_of_platforms` >= 15 AND `total_passengers` > 25
Show all locations which don't have a train station with at least 15 platforms.,SELECT `LOCATION` FROM `station` EXCEPT SELECT `LOCATION` FROM `station` WHERE `number_of_platforms` >= 15
Show the location with most number of train stations.,SELECT `LOCATION` FROM `station` GROUP BY `LOCATION` ORDER BY COUNT(*) DESC LIMIT 1
"Show the name, time, and service for all trains.","SELECT `name`, `TIME`, `service` FROM `train`"
Show the number of trains,SELECT COUNT(*) FROM `train`
Show the name and service for all trains in order by time.,"SELECT `name`, `service` FROM `train` ORDER BY `TIME`"
Show the station name and number of trains in each station.,"SELECT `t2`.`name`, COUNT(*) FROM `train_station` AS `t1` JOIN `station` AS `t2` ON `t1`.`station_id` = `t2`.`station_id` GROUP BY `t2`.`name`"
show the train name and station name for each train.,"SELECT `t2`.`name`, `t3`.`name` FROM `train_station` AS `t1` JOIN `station` AS `t2` ON `t1`.`station_id` = `t2`.`station_id` JOIN `train` AS `t3` ON `t3`.`train_id` = `t1`.`train_id`"
Show all train names and times in stations in London in descending order by train time.,"SELECT `t3`.`name`, `t3`.`time` FROM `train_station` AS `t1` JOIN `station` AS `t2` ON `t1`.`station_id` = `t2`.`station_id` JOIN `train` AS `t3` ON `t3`.`train_id` = `t1`.`train_id` WHERE `t2`.`location` = 'London' ORDER BY `t3`.`time` DESC"
Show the station name with greatest number of trains.,SELECT `t2`.`name` FROM `train_station` AS `t1` JOIN `station` AS `t2` ON `t1`.`station_id` = `t2`.`station_id` GROUP BY `t2`.`name` ORDER BY COUNT(*) DESC LIMIT 1
Show the station name with at least two trains.,SELECT `t2`.`name` FROM `train_station` AS `t1` JOIN `station` AS `t2` ON `t1`.`station_id` = `t2`.`station_id` GROUP BY `t2`.`name` HAVING COUNT(*) >= 2
Show all locations with only 1 station.,SELECT `LOCATION` FROM `station` GROUP BY `LOCATION` HAVING COUNT(*) = 1
Show station names without any trains.,SELECT `name` FROM `station` WHERE NOT `station_id` IN (SELECT `station_id` FROM `train_station`)
"What are the names of the stations which serve both ""Ananthapuri Express"" and ""Guruvayur Express"" trains?",SELECT `t2`.`name` FROM `train_station` AS `t1` JOIN `station` AS `t2` ON `t1`.`station_id` = `t2`.`station_id` JOIN `train` AS `t3` ON `t3`.`train_id` = `t1`.`train_id` WHERE `t3`.`Name` = 'Ananthapuri Express' INTERSECT SELECT `t2`.`name` FROM `train_station` AS `t1` JOIN `station` AS `t2` ON `t1`.`station_id` = `t2`.`station_id` JOIN `train` AS `t3` ON `t3`.`train_id` = `t1`.`train_id` WHERE `t3`.`Name` = 'Guruvayur Express'
Find the names of the trains that do not pass any station located in London.,SELECT `t2`.`name` FROM `train_station` AS `t1` JOIN `train` AS `t2` ON `t1`.`train_id` = `t2`.`train_id` WHERE NOT `t1`.`station_id` IN (SELECT `t4`.`station_id` FROM `train_station` AS `t3` JOIN `station` AS `t4` ON `t3`.`station_id` = `t4`.`station_id` WHERE `t4`.`location` = 'London')
List the names and locations of all stations ordered by their yearly entry exit and interchange amounts.,"SELECT `name`, `LOCATION` FROM `station` ORDER BY `Annual_entry_exit`, `Annual_interchanges`"
