question,sql
Find the number of students in total.,SELECT COUNT(*) FROM `Student`
How many students are there in total?,SELECT COUNT(*) FROM `Student`
Find the number of voting records in total.,SELECT COUNT(*) FROM `Voting_record`
How many voting records do we have?,SELECT COUNT(*) FROM `Voting_record`
Find the distinct number of president votes.,SELECT COUNT(DISTINCT `President_Vote`) FROM `Voting_record`
How many distinct president votes are recorded?,SELECT COUNT(DISTINCT `President_Vote`) FROM `Voting_record`
Find the maximum age of all the students.,SELECT MAX(`Age`) FROM `Student`
What is the oldest age among the students?,SELECT MAX(`Age`) FROM `Student`
Find the last names of students with major 50.,SELECT `LName` FROM `Student` WHERE `Major` = 50
What are the last names of students studying major 50?,SELECT `LName` FROM `Student` WHERE `Major` = 50
Find the first names of students with age above 22.,SELECT `Fname` FROM `Student` WHERE `Age` > 22
What are the first names of all the students aged above 22?,SELECT `Fname` FROM `Student` WHERE `Age` > 22
What are the majors of male (sex is M) students?,SELECT `Major` FROM `Student` WHERE `Sex` = 'M'
List the major of each male student.,SELECT `Major` FROM `Student` WHERE `Sex` = 'M'
What is the average age of female (sex is F) students?,SELECT AVG(`Age`) FROM `Student` WHERE `Sex` = 'F'
Find the average age of female students.,SELECT AVG(`Age`) FROM `Student` WHERE `Sex` = 'F'
What are the maximum and minimum age of students with major 600?,"SELECT MAX(`Age`), MIN(`Age`) FROM `Student` WHERE `Major` = 600"
Tell me the ages of the oldest and youngest students studying major 600.,"SELECT MAX(`Age`), MIN(`Age`) FROM `Student` WHERE `Major` = 600"
"Who are the advisors for students that live in a city with city code ""BAL""?",SELECT `Advisor` FROM `Student` WHERE `city_code` = 'BAL'
"Show the advisors of the students whose city of residence has city code ""BAL"".",SELECT `Advisor` FROM `Student` WHERE `city_code` = 'BAL'
What are the distinct secretary votes in the fall election cycle?,SELECT DISTINCT `Secretary_Vote` FROM `Voting_record` WHERE `ELECTION_CYCLE` = 'Fall'
Return all the distinct secretary votes made in the fall election cycle.,SELECT DISTINCT `Secretary_Vote` FROM `Voting_record` WHERE `ELECTION_CYCLE` = 'Fall'
What are the distinct president votes on 08/30/2015?,SELECT DISTINCT `PRESIDENT_Vote` FROM `Voting_record` WHERE `Registration_Date` = '08/30/2015'
Show all the distinct president votes made on 08/30/2015.,SELECT DISTINCT `PRESIDENT_Vote` FROM `Voting_record` WHERE `Registration_Date` = '08/30/2015'
Report the distinct registration date and the election cycle.,"SELECT DISTINCT `Registration_Date`, `Election_Cycle` FROM `Voting_record`"
What are the distinct registration dates and the election cycles?,"SELECT DISTINCT `Registration_Date`, `Election_Cycle` FROM `Voting_record`"
Report the distinct president vote and the vice president vote.,"SELECT DISTINCT `President_Vote`, `VICE_President_Vote` FROM `Voting_record`"
