question,sql
What is the name of the highest rated wine?,SELECT `Name` FROM `WINE` ORDER BY `Score` LIMIT 1
Give the name of the wine with the highest score.,SELECT `Name` FROM `WINE` ORDER BY `Score` LIMIT 1
Which winery is the wine that has the highest score from?,SELECT `Winery` FROM `WINE` ORDER BY `SCORE` LIMIT 1
What is the winery at which the wine with the highest score was made?,SELECT `Winery` FROM `WINE` ORDER BY `SCORE` LIMIT 1
Find the names of all wines produced in 2008.,SELECT `Name` FROM `WINE` WHERE `YEAR` = `2008`
What are the names of all wines produced in 2008?,SELECT `Name` FROM `WINE` WHERE `YEAR` = `2008`
List the grapes and appelations of all wines.,"SELECT `Grape`, `Appelation` FROM `WINE`"
What are the grapes and appelations of each wine?,"SELECT `Grape`, `Appelation` FROM `WINE`"
List the names and scores of all wines.,"SELECT `Name`, `Score` FROM `WINE`"
What are the names and scores of all wines?,"SELECT `Name`, `Score` FROM `WINE`"
List the area and county of all appelations.,"SELECT `Area`, `County` FROM `APPELLATIONS`"
What are the areas and counties for all appelations?,"SELECT `Area`, `County` FROM `APPELLATIONS`"
What are the prices of wines produced before the year of 2010?,SELECT `Price` FROM `WINE` WHERE `YEAR` < 2010
Return the prices of wines produced before 2010.,SELECT `Price` FROM `WINE` WHERE `YEAR` < 2010
List the names of all distinct wines that have scores higher than 90.,SELECT `Name` FROM `WINE` WHERE `score` > 90
What are the names of wines with scores higher than 90?,SELECT `Name` FROM `WINE` WHERE `score` > 90
List the names of all distinct wines that are made of red color grape.,SELECT DISTINCT `T2`.`Name` FROM `GRAPES` AS `T1` JOIN `WINE` AS `T2` ON `T1`.`Grape` = `T2`.`Grape` WHERE `T1`.`Color` = `Red`
What are the names of wines made from red grapes?,SELECT DISTINCT `T2`.`Name` FROM `GRAPES` AS `T1` JOIN `WINE` AS `T2` ON `T1`.`Grape` = `T2`.`Grape` WHERE `T1`.`Color` = `Red`
Find the names of all distinct wines that have appellations in North Coast area.,SELECT DISTINCT `T2`.`Name` FROM `APPELLATIONs` AS `T1` JOIN `WINE` AS `T2` ON `T1`.`Appelation` = `T2`.`Appelation` WHERE `T1`.`Area` = `North Coast`
What are the distinct names of wines that have appellations in the North Coast area?,SELECT DISTINCT `T2`.`Name` FROM `APPELLATIONs` AS `T1` JOIN `WINE` AS `T2` ON `T1`.`Appelation` = `T2`.`Appelation` WHERE `T1`.`Area` = `North Coast`
How many wines are produced at Robert Biale winery?,SELECT COUNT(*) FROM `WINE` WHERE `Winery` = `Robert Biale`
Count the number of wines produced at Robert Biale winery.,SELECT COUNT(*) FROM `WINE` WHERE `Winery` = `Robert Biale`
How many appelations are in Napa Country?,SELECT COUNT(*) FROM `APPELLATIONS` WHERE `County` = `Napa`
Count the number of appelations in Napa County.,SELECT COUNT(*) FROM `APPELLATIONS` WHERE `County` = `Napa`
