question,sql
How many wrestlers are there?,SELECT count(*) FROM wrestler
Count the number of wrestlers.,SELECT count(*) FROM wrestler
List the names of wrestlers in descending order of days held.,SELECT Name FROM wrestler ORDER BY Days_held DESC
"What are the names of the wrestlers, ordered descending by days held?",SELECT Name FROM wrestler ORDER BY Days_held DESC
What is the name of the wrestler with the fewest days held?,SELECT Name FROM wrestler ORDER BY Days_held ASC LIMIT 1
Return the name of the wrestler who had the lowest number of days held.,SELECT Name FROM wrestler ORDER BY Days_held ASC LIMIT 1
"What are the distinct reigns of wrestlers whose location is not ""Tokyo,Japan"" ?","SELECT DISTINCT Reign FROM wrestler WHERE LOCATION != ""Tokyo , Japan"""
"Give the different reigns of wrestlers who are not located in Tokyo, Japan.","SELECT DISTINCT Reign FROM wrestler WHERE LOCATION != ""Tokyo , Japan"""
What are the names and location of the wrestlers?,"SELECT Name ,  LOCATION FROM wrestler"
Give the names and locations of all wrestlers.,"SELECT Name ,  LOCATION FROM wrestler"
"What are the elimination moves of wrestlers whose team is ""Team Orton""?","SELECT Elimination_Move FROM Elimination WHERE Team  =  ""Team Orton"""
Return the elimination movies of wrestlers on Team Orton.,"SELECT Elimination_Move FROM Elimination WHERE Team  =  ""Team Orton"""
What are the names of wrestlers and the elimination moves?,"SELECT T2.Name ,  T1.Elimination_Move FROM elimination AS T1 JOIN wrestler AS T2 ON T1.Wrestler_ID  =  T2.Wrestler_ID"
Give the names of wrestlers and their elimination moves.,"SELECT T2.Name ,  T1.Elimination_Move FROM elimination AS T1 JOIN wrestler AS T2 ON T1.Wrestler_ID  =  T2.Wrestler_ID"
List the names of wrestlers and the teams in elimination in descending order of days held.,"SELECT T2.Name ,  T1.Team FROM elimination AS T1 JOIN wrestler AS T2 ON T1.Wrestler_ID  =  T2.Wrestler_ID ORDER BY T2.Days_held DESC"
"What are the names of wrestlers and their teams in elimination, ordered descending by days held?","SELECT T2.Name ,  T1.Team FROM elimination AS T1 JOIN wrestler AS T2 ON T1.Wrestler_ID  =  T2.Wrestler_ID ORDER BY T2.Days_held DESC"
List the time of elimination of the wrestlers with largest days held.,SELECT T1.Time FROM elimination AS T1 JOIN wrestler AS T2 ON T1.Wrestler_ID  =  T2.Wrestler_ID ORDER BY T2.Days_held DESC LIMIT 1
What is the time of elimination for the wrestler with the most days held?,SELECT T1.Time FROM elimination AS T1 JOIN wrestler AS T2 ON T1.Wrestler_ID  =  T2.Wrestler_ID ORDER BY T2.Days_held DESC LIMIT 1
Show times of elimination of wrestlers with days held more than 50.,SELECT T1.Time FROM elimination AS T1 JOIN wrestler AS T2 ON T1.Wrestler_ID  =  T2.Wrestler_ID WHERE T2.Days_held  >  50
What are the times of elimination for wrestlers with over 50 days held?,SELECT T1.Time FROM elimination AS T1 JOIN wrestler AS T2 ON T1.Wrestler_ID  =  T2.Wrestler_ID WHERE T2.Days_held  >  50
Show different teams in eliminations and the number of eliminations from each team.,"SELECT Team ,  COUNT(*) FROM elimination GROUP BY Team"
How many eliminations did each team have?,"SELECT Team ,  COUNT(*) FROM elimination GROUP BY Team"
Show teams that have suffered more than three eliminations.,SELECT Team FROM elimination GROUP BY Team HAVING COUNT(*)  >  3
Which teams had more than 3 eliminations?,SELECT Team FROM elimination GROUP BY Team HAVING COUNT(*)  >  3
Show the reign and days held of wrestlers.,"SELECT Reign ,  Days_held FROM wrestler"
What are the reigns and days held of all wrestlers?,"SELECT Reign ,  Days_held FROM wrestler"
What are the names of wrestlers days held less than 100?,SELECT Name FROM wrestler WHERE Days_held  <  100
Return the names of wrestlers with fewer than 100 days held.,SELECT Name FROM wrestler WHERE Days_held  <  100
Please show the most common reigns of wrestlers.,SELECT Reign FROM wrestler GROUP BY Reign ORDER BY COUNT(*) DESC LIMIT 1
Which reign is the most common among wrestlers?,SELECT Reign FROM wrestler GROUP BY Reign ORDER BY COUNT(*) DESC LIMIT 1
List the locations that are shared by more than two wrestlers.,SELECT LOCATION FROM wrestler GROUP BY LOCATION HAVING COUNT(*)  >  2
Which locations are shared by more than two wrestlers?,SELECT LOCATION FROM wrestler GROUP BY LOCATION HAVING COUNT(*)  >  2
List the names of wrestlers that have not been eliminated.,SELECT Name FROM wrestler WHERE Wrestler_ID NOT IN (SELECT Wrestler_ID FROM elimination)
What are the names of wrestlers who have never been eliminated?,SELECT Name FROM wrestler WHERE Wrestler_ID NOT IN (SELECT Wrestler_ID FROM elimination)
"Show the teams that have both wrestlers eliminated by ""Orton"" and wrestlers eliminated by ""Benjamin"".","SELECT Team FROM Elimination WHERE Eliminated_By  =  ""Orton"" INTERSECT SELECT Team FROM Elimination WHERE Eliminated_By  =  ""Benjamin"""
What are the teams that have both wrestlers eliminated by Orton and wrestlers eliminated by Benjamin?,"SELECT Team FROM Elimination WHERE Eliminated_By  =  ""Orton"" INTERSECT SELECT Team FROM Elimination WHERE Eliminated_By  =  ""Benjamin"""
What is the number of distinct teams that suffer elimination?,SELECT COUNT (DISTINCT team) FROM elimination
How many different teams have had eliminated wrestlers?,SELECT COUNT (DISTINCT team) FROM elimination
"Show the times of elimination by ""Punk"" or ""Orton"".","SELECT TIME FROM elimination WHERE Eliminated_By  =  ""Punk"" OR Eliminated_By  =  ""Orton"""
What are the times of elimination for any instances in which the elimination was done by Punk or Orton?,"SELECT TIME FROM elimination WHERE Eliminated_By  =  ""Punk"" OR Eliminated_By  =  ""Orton"""
