Service_ID,Service_Type_Code,Workshop_Group_ID,Product_Description,Product_Name,Product_Price,Other_Product_Service_Details
191,1,415,NULL,film,58932775.8822,NULL
219,2,838,NULL,film,2704.4719,NULL
220,1,708,NULL,dinning,6888.8306,NULL
396,3,735,NULL,photo,31862.0853,NULL
414,2,954,NULL,photo,213.9459,NULL
421,3,470,NULL,photo,8004.988,NULL
525,4,838,NULL,photo,3499362.8145,NULL
597,2,735,NULL,photo,5396.2935,NULL
630,4,176,NULL,photo,19845767.8923,NULL
640,2,382,NULL,dinning,7299.6747,NULL
662,2,954,NULL,dinning,641544.2835,NULL
773,3,314,NULL,dinning,827055.7309,NULL
779,1,431,NULL,film,9130.7326,NULL
798,1,176,NULL,film,84063402.4351,NULL
840,1,405,NULL,film,187358.6469,NULL
