transaction_id,account_id,invoice_number,transaction_type,transaction_date,transaction_amount,transaction_comment,other_transaction_details
1,13,12,Payment,2018-03-15 21:13:57,613.96,NULL,NULL
2,9,1,Payment,2018-03-13 13:27:46,368.46,NULL,NULL
3,6,1,Refund,2018-03-03 01:50:25,1598.25,NULL,NULL
4,9,12,Payment,2018-03-10 13:46:48,540.73,NULL,NULL
5,9,2,Payment,2018-03-23 04:56:12,1214.22,NULL,NULL
6,12,3,Refund,2018-03-22 21:58:37,1903.41,NULL,NULL
7,13,14,Payment,2018-03-12 03:06:52,1585.03,NULL,NULL
8,14,15,Payment,2018-03-11 21:57:47,1425.41,NULL,NULL
9,8,12,Payment,2018-03-07 04:32:54,1517.77,NULL,NULL
10,6,15,Payment,2018-03-14 19:09:07,1477.57,NULL,NULL
11,6,13,Refund,2018-03-12 22:51:05,1567.64,NULL,NULL
12,9,6,Refund,2018-03-05 19:55:23,1781.24,NULL,NULL
13,13,12,Refund,2018-03-24 12:05:11,899.87,NULL,NULL
14,11,5,Refund,2018-03-13 03:51:59,1462.62,NULL,NULL
15,4,14,Refund,2018-02-27 14:58:30,1979.66,NULL,NULL
